autor,inclinacao_0,inclinacao_1,inclinacao_2,inclinacao_3,inclinacao_4,inclinacao_5,inclinacao_6,inclinacao_7,inclinacao_8,inclinacao_9,inclinacao_10,inclinacao_11,inclinacao_12,inclinacao_13,inclinacao_14,inclinacao_15,inclinacao_16
a046,0.48039458137553925,0.21374989695820626,0.10415922475934017,0.0412808323945081,0.0,0.04265472297786204,0.10415922475934017,0.21374989695820626,0.4970644537869004,0.7572243746508028,0.9256358823583289,1.0,0.9460061000741901,0.8651755374201998,0.7470392657928723,0.9460061000741901,0.48039458137553925
a047,0.9746163174842136,0.23165920907734983,0.11097171691827319,0.042794017201243394,0.0,0.045080081963785386,0.11097171691827319,0.23165920907734983,0.5147130570540431,0.6976958139923891,0.8117342031530966,0.8685652155731193,0.8529251871367038,0.9438520191248833,1.0,0.8529251871367038,0.9746163174842136
a048,0.3315721616907248,0.6044062997699522,0.28683924463432514,0.11444245013524787,0.0,0.08514295826276007,0.28683924463432514,0.6044062997699522,1.0,0.7991379528275653,0.5427737189372298,0.370882523952777,0.22691306216346033,0.22205930682306546,0.23748009201911166,0.22691306216346033,0.3315721616907248
a049,0.5466622749231445,0.12925633143024448,0.07427170253257209,0.031979212413995026,0.0,0.033735909822866346,0.07427170253257209,0.12925633143024448,0.22735324257063388,0.3648440931049627,0.5451617625530669,0.7345264236568584,0.8956009369052848,1.0,0.9692724344898258,0.8956009369052848,0.5466622749231445
a050,0.45923604068713314,0.5997357180172705,0.24069635229402908,0.0848775391045143,0.0,0.06270550997203528,0.24069635229402908,0.5997357180172705,1.0,0.6920039334992778,0.3492670784548723,0.14586214314249715,0.03921207092590885,0.09085461417903568,0.17929688700408716,0.03921207092590885,0.45923604068713314
a051,0.23805487869477698,0.34849736907158246,0.14529787760002824,0.0595967086908924,0.0,0.05112123459406011,0.14529787760002824,0.34849736907158246,0.7876611222940283,0.9908464879754211,1.0,0.8894798177773069,0.6604795705759791,0.5185789455097645,0.3922166896210757,0.6604795705759791,0.23805487869477698
a052,0.7640425819432141,0.41633008513385683,0.16881127910992327,0.06559961562138707,0.0,0.062236302758216844,0.16881127910992327,0.41633008513385683,0.8857074218104833,1.0,0.9627182775033408,0.8718187414603384,0.744553385084308,0.7800633624119758,0.7990420564255792,0.744553385084308,0.7640425819432141
a053,0.999871912168344,0.3804757548032937,0.30492223238792315,0.24922232387923146,0.2210064043915828,0.22839890210430008,0.30492223238792315,0.3804757548032937,0.4310338517840805,0.2084354986276304,0.0683989021043001,0.016102470265324794,0.0,0.1452150045745654,0.33868252516010977,0.0,1.0
a054,0.8052114207731838,0.6104015182207817,0.3095933641810777,0.13350534149305926,0.0,0.08490948248288803,0.3095933641810777,0.6104015182207817,1.0,0.7914152291191334,0.6441989892743673,0.6145382433844382,0.5816789986566305,0.7070388297758918,0.7774058042092244,0.5816789986566305,0.8052114207731838
a055,0.525209577746028,0.20262337975315442,0.10799063570481814,0.04580586301275541,0.0,0.04894737748093574,0.10799063570481814,0.20262337975315442,0.42431962542819274,0.6429173910798203,0.8207615375346428,0.9469213158211833,1.0,0.9811164856351023,0.890296593393352,1.0,0.525209577746028
